gene_name,ensg_id,enst_id,uniprot_id,protein_name,hek_rna_tpm,hek_protein_conc_nm,hek_protein_copy_number
HBG1,ENSG00000213934,ENST00000330597,P69891,Hemoglobin subunit gamma-1 ,0.0,,
HBG2,ENSG00000196565,ENST00000336906,P69892,Hemoglobin subunit gamma-2 ,0.029210267,,
HBM,ENSG00000206177,ENST00000356815,Q6B0K9,Hemoglobin subunit mu ,0.0,,
HBP1,ENSG00000105856,ENST00000222574,O60381,HMG box-containing protein 1 ,9.963695,1.436945594,865.041247588
HBQ1,ENSG00000086506,ENST00000199708,P09105,Hemoglobin subunit theta-1 ,15.12166667,6.39374912,3849.03697024
HBS1L,ENSG00000112339,ENST00000367826,Q9Y450,HBS1-like protein ,145.740695,582.735814,350806.960028
HBZ,ENSG00000130656,ENST00000252951,P02008,Hemoglobin subunit zeta ,0.0765124,,
HCAR1,ENSG00000196917,ENST00000432564,Q9BXC0,Hydroxycarboxylic acid receptor 1 ,0.240872,,
HCAR2,ENSG00000182782,ENST00000328880,Q8TDS4,Hydroxycarboxylic acid receptor 2 ,0.0,,
HCAR3,ENSG00000255398,ENST00000528880,P49019,Hydroxycarboxylic acid receptor 3 ,0.0,,
HCCS,ENSG00000004961,ENST00000380762,P53701,Holocytochrome c-type synthase ,58.70271333,558.6760599,336322.9880598
HCFC1,ENSG00000172534,ENST00000310441,P51610,Host cell factor 1 ,75.49690067,686.1959285,413089.94895700004
HCFC1R1,ENSG00000103145,ENST00000248089,Q9NWW0,Host cell factor C1 regulator 1 ,34.44411033,,
HCFC2,ENSG00000111727,ENST00000544223,Q9Y5Z7,Host cell factor 2 ,7.471877333,19.95709397,12014.170569939999
HCK,ENSG00000101336,ENST00000639405,P08631,Tyrosine-protein kinase HCK ,0.11638612,,
HCLS1,ENSG00000180353,ENST00000314583,P14317,Hematopoietic lineage cell-specific protein ,0.343591933,0.141002687,84.883617574
HCN1,ENSG00000164588,ENST00000303230,O60741,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 ,0.0246674,,
HCN2,ENSG00000099822,ENST00000251287,Q9UL51,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 ,7.249526667,1.453032874,874.725790148
HCN3,ENSG00000143630,ENST00000368358,Q9P1Z3,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,8.198412667,,
HCN4,ENSG00000138622,ENST00000261917,Q9Y3Q4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,0.537619333,,
HCRT,ENSG00000161610,ENST00000293330,O43612,Orexin ,0.418854,,
HCRTR1,ENSG00000121764,ENST00000403528,O43613,Orexin receptor type 1 ,0.066925033,,
HCRTR2,ENSG00000137252,ENST00000370862,O43614,Orexin receptor type 2 ,0.034482233,,
HCST,ENSG00000126264,ENST00000246551,Q9UBK5,Hematopoietic cell signal transducer ,0.383047667,,
HDAC1,ENSG00000116478,ENST00000373548,Q13547,Histone deacetylase 1 ,338.4568087,1454.313884,875496.958168
HDAC10,ENSG00000100429,ENST00000216271,Q969S8,Polyamine deacetylase HDAC10 ,19.45569287,,
HDAC11,ENSG00000163517,ENST00000295757,Q96DB2,Histone deacetylase 11 ,10.43612201,0.635183848,382.38067649600004
HDAC2,ENSG00000196591,ENST00000368632,Q92769,Histone deacetylase 2 ,315.991749,1082.375503,651590.052806
HDAC3,ENSG00000171720,ENST00000305264,O15379,Histone deacetylase 3 ,96.41760733,71.75744926,43197.98445452
HDAC4,ENSG00000068024,ENST00000543185,P56524,Histone deacetylase 4 ,7.045952497,14.06730334,8468.51661068
HDAC5,ENSG00000108840,ENST00000586802,Q9UQL6,Histone deacetylase 5 ,25.91048733,11.71095727,7049.99627654
HDAC6,ENSG00000094631,ENST00000334136,Q9UBN7,Histone deacetylase 6 ,37.91836449,60.80141266,36602.45042132
HDAC7,ENSG00000061273,ENST00000354334,Q8WUI4,Histone deacetylase 7 ,14.43801647,10.37735074,6247.16514548
HDAC8,ENSG00000147099,ENST00000373573,Q9BY41,Histone deacetylase 8 ,60.96512793,140.6922936,84696.7607472
HDAC9,ENSG00000048052,ENST00000417496,Q9UKV0,Histone deacetylase 9 ,1.46763597,0.217600181,130.995308962
HDC,ENSG00000140287,ENST00000267845,P19113,Histidine decarboxylase ,0.0,,
HDDC2,ENSG00000111906,ENST00000398153,Q7Z4H3,5'-deoxynucleotidase HDDC2 ,214.0389303,1242.706687,748109.4255740001
HDDC3,ENSG00000184508,ENST00000330334,Q8N4P3,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 ",45.462068,735.3634444,442688.7935288
HDGF,ENSG00000143321,ENST00000357325,P51858,Hepatoma-derived growth factor ,425.2933028,2433.317244,1464856.980888
HDGFL1,ENSG00000112273,ENST00000510882,Q5TGJ6,Hepatoma-derived growth factor-like protein 1 ,0.0,,
HDGFL2,ENSG00000167674,ENST00000616600,Q7Z4V5,Hepatoma-derived growth factor-related protein 2 ,122.9288853,565.0063347,340133.8134894
HDGFL3,ENSG00000166503,ENST00000299633,Q9Y3E1,Hepatoma-derived growth factor-related protein 3 ,53.480986,143.1168231,86156.3275062
HDHD2,ENSG00000167220,ENST00000300605,Q9H0R4,Haloacid dehalogenase-like hydrolase domain-containing protein 2,23.9193454,126.2460146,76000.10078919999
HDHD3,ENSG00000119431,ENST00000374180,Q9BSH5,Haloacid dehalogenase-like hydrolase domain-containing protein 3,26.40493667,122.4247804,73699.7178008
HDHD5,ENSG00000069998,ENST00000336737,Q9BXW7,Haloacid dehalogenase-like hydrolase domain-containing 5 ,100.184548,879.9696713,529741.7421226
HDLBP,ENSG00000115677,ENST00000427183,Q00341,Vigilin ,288.5328753,1058.040816,636940.571232
HDX,ENSG00000165259,ENST00000373177,Q7Z353,Highly divergent homeobox,4.535952,2.037427233,1226.5311942659998
HEATR1,ENSG00000119285,ENST00000366582,Q9H583,HEAT repeat-containing protein 1 ,96.42000367,381.1828362,229472.0673924
HEATR3,ENSG00000155393,ENST00000299192,Q7Z4Q2,HEAT repeat-containing protein 3,38.17919067,335.2734249,201834.6017898
HEATR4,ENSG00000187105,ENST00000334988,Q86WZ0,HEAT repeat-containing protein 4,0.0,,
HEATR5A,ENSG00000129493,ENST00000382464,Q86XA9,HEAT repeat-containing protein 5A,24.98473033,20.53720456,12363.39714512
HEATR5B,ENSG00000008869,ENST00000233099,Q9P2D3,HEAT repeat-containing protein 5B,17.95964167,60.77717952,36587.86207104
HEATR6,ENSG00000068097,ENST00000184956,Q6AI08,HEAT repeat-containing protein 6 ,27.92956,87.08453884,52424.892381679994
HEATR9,ENSG00000270379,ENST00000603852,A2RTY3,Protein HEATR9 ,0.0,,
HEBP1,ENSG00000013583,ENST00000014930,Q9NRV9,Heme-binding protein 1 ,36.64240933,702.323617,422798.817434
HEBP2,ENSG00000051620,ENST00000607197,Q9Y5Z4,Heme-binding protein 2 ,65.50688333,884.2716341,532331.5237282
HECA,ENSG00000112406,ENST00000367658,Q9UBI9,Headcase protein homolog ,8.795526667,25.75053211,15501.820330220002
HECTD1,ENSG00000092148,ENST00000553700,Q9ULT8,E3 ubiquitin-protein ligase HECTD1 ,54.35092641,200.6613675,120798.14323500001
HECTD2,ENSG00000165338,ENST00000298068,Q5U5R9,Probable E3 ubiquitin-protein ligase HECTD2 ,5.421977667,1.360067057,818.760368314
HECTD3,ENSG00000126107,ENST00000372172,Q5T447,E3 ubiquitin-protein ligase HECTD3 ,26.982011,91.51612493,55092.70720786
HECW1,ENSG00000002746,ENST00000453890,Q76N89,E3 ubiquitin-protein ligase HECW1 ,0.946864833,0.046613844,28.061534088000002
HECW2,ENSG00000138411,ENST00000644978,Q9P2P5,E3 ubiquitin-protein ligase HECW2 ,1.683133467,3.510890915,2113.55633083
HEG1,ENSG00000173706,ENST00000311127,Q9ULI3,Protein HEG homolog 1,7.269827,1.110404956,668.463783512
HELB,ENSG00000127311,ENST00000247815,Q8NG08,DNA helicase B ,2.336812887,26.79545357,16130.86304914
HELLS,ENSG00000119969,ENST00000348459,Q9NRZ9,Lymphoid-specific helicase ,89.5513449,606.1416186,364897.2543972
HELQ,ENSG00000163312,ENST00000295488,Q8TDG4,Helicase POLQ-like ,10.81443767,8.90760114,5362.3758862800005
HELT,ENSG00000187821,ENST00000505610,A6NFD8,Hairy and enhancer of split-related protein HELT ,0.230030421,,
HELZ,ENSG00000198265,ENST00000358691,P42694,Probable helicase with zinc finger domain ,19.23381067,75.13361301,45230.43503202
HELZ2,ENSG00000130589,ENST00000467148,Q9BYK8,Helicase with zinc finger domain 2 ,8.903551333,10.11811763,6091.10681326
HEMGN,ENSG00000136929,ENST00000259456,Q9BXL5,Hemogen ,0.028218467,,
HEMK1,ENSG00000114735,ENST00000455834,Q9Y5R4,MTRF1L release factor glutamine methyltransferase ,16.599304,13.03485828,7846.98468456
HENMT1,ENSG00000162639,ENST00000370032,Q5T8I9,Small RNA 2'-O-methyltransferase ,0.013623633,,
HEPACAM,ENSG00000165478,ENST00000298251,Q14CZ8,Hepatocyte cell adhesion molecule ,0.008282967,,
HEPACAM2,ENSG00000188175,ENST00000341723,A8MVW5,HEPACAM family member 2 ,0.015113267,,
HEPH,ENSG00000089472,ENST00000336279,Q9BQS7,Hephaestin ,0.0,,
HEPHL1,ENSG00000181333,ENST00000315765,Q6MZM0,Ferroxidase HEPHL1 ,0.0,,
HEPN1,ENSG00000221932,ENST00000408930,Q6WQI6,Putative cancer susceptibility gene HEPN1 protein,0.0,,
HERC1,ENSG00000103657,ENST00000443617,Q15751,Probable E3 ubiquitin-protein ligase HERC1 ,18.23437567,17.81559728,10724.989562559998
HERC2,ENSG00000128731,ENST00000261609,O95714,E3 ubiquitin-protein ligase HERC2 ,44.84449193,41.81310013,25171.486278260003
HERC3,ENSG00000138641,ENST00000402738,Q15034,Probable E3 ubiquitin-protein ligase HERC3 ,9.68851015,5.699100052,3430.858231304
HERC4,ENSG00000148634,ENST00000373700,Q5GLZ8,Probable E3 ubiquitin-protein ligase HERC4 ,18.6197623,70.64722926,42529.63201452
HERC5,ENSG00000138646,ENST00000264350,Q9UII4,E3 ISG15--protein ligase HERC5 ,9.68929787,59.93127223,36078.62588246
HERC6,ENSG00000138642,ENST00000264346,Q8IVU3,Probable E3 ubiquitin-protein ligase HERC6 ,3.254783267,,
HERPUD1,ENSG00000051108,ENST00000300302,Q15011,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein ,61.692594,42.03460635,25304.833022699997
HERPUD2,ENSG00000122557,ENST00000396081,Q9BSE4,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein,8.761767667,12.18914486,7337.865205720001
HES1,ENSG00000114315,ENST00000232424,Q14469,Transcription factor HES-1 ,25.76151,21.47033087,12925.13918374
HES2,ENSG00000069812,ENST00000377837,Q9Y543,Transcription factor HES-2 ,0.790588667,,
HES3,ENSG00000173673,ENST00000377898,Q5TGS1,Transcription factor HES-3 ,0.0,,
HES4,ENSG00000188290,ENST00000304952,Q9HCC6,Transcription factor HES-4 ,164.04763,3.995285845,2405.1620786900003
HES5,ENSG00000197921,ENST00000378453,Q5TA89,Transcription factor HES-5 ,0.746673,,
HES6,ENSG00000144485,ENST00000409160,Q96HZ4,Transcription cofactor HES-6 ,27.69704333,,
HES7,ENSG00000179111,ENST00000317814,Q9BYE0,Transcription factor HES-7 ,2.102348667,,
HESX1,ENSG00000163666,ENST00000295934,Q9UBX0,Homeobox expressed in ES cells 1 ,3.148998333,,
HEXA,ENSG00000213614,ENST00000268097,P06865,Beta-hexosaminidase subunit alpha ,87.93265268,254.4230723,153162.6895246
HEXB,ENSG00000049860,ENST00000261416,P07686,Beta-hexosaminidase subunit beta ,62.0437036,253.5181183,152617.9072166
HEXD,ENSG00000169660,ENST00000337014,Q8WVB3,Hexosaminidase D ,25.1983098,5.846436319,3519.5546640380003
HEXIM1,ENSG00000186834,ENST00000332499,O94992,Protein HEXIM1 ,37.41273333,424.0291106,255265.5245812
HEXIM2,ENSG00000168517,ENST00000592695,Q96MH2,Protein HEXIM2 ,9.503113,17.44991293,10504.84758386
HEY1,ENSG00000164683,ENST00000354724,Q9Y5J3,Hairy/enhancer-of-split related with YRPW motif protein 1 ,178.09371,50.74429382,30548.064879640002
HEY2,ENSG00000135547,ENST00000368364,Q9UBP5,Hairy/enhancer-of-split related with YRPW motif protein 2 ,4.279198,,
HEYL,ENSG00000163909,ENST00000372852,Q9NQ87,Hairy/enhancer-of-split related with YRPW motif-like protein ,4.030156667,0.4236522,255.03862439999997
HFE,ENSG00000010704,ENST00000357618,Q30201,Hereditary hemochromatosis protein ,0.086052167,,
HFM1,ENSG00000162669,ENST00000370425,A2PYH4,Probable ATP-dependent DNA helicase HFM1 ,2.459604233,,
HGD,ENSG00000113924,ENST00000283871,Q93099,"Homogentisate 1,2-dioxygenase ",0.207463467,,
HGF,ENSG00000019991,ENST00000457544,P14210,Hepatocyte growth factor ,0.130262033,,
HGFAC,ENSG00000109758,ENST00000382774,Q04756,Hepatocyte growth factor activator ,0.096277233,,
HGH1,ENSG00000235173,ENST00000347708,Q9BTY7,Protein HGH1 homolog,35.88123767,293.9941939,176984.50472780003
HGS,ENSG00000185359,ENST00000329138,O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate ,81.729365,359.0858574,216169.6861548
HGSNAT,ENSG00000165102,ENST00000379644,Q68CP4,Heparan-alpha-glucosaminide N-acetyltransferase ,16.36909767,9.740686402,5863.893214004
HHAT,ENSG00000054392,ENST00000261458,Q5VTY9,Protein-cysteine N-palmitoyltransferase HHAT ,1.392943733,0.230592524,138.816699448
HHATL,ENSG00000010282,ENST00000310417,Q9HCP6,Protein-cysteine N-palmitoyltransferase HHAT-like protein ,0.017942867,185.9353987,111933.1100174
HHEX,ENSG00000152804,ENST00000282728,Q03014,Hematopoietically-expressed homeobox protein HHEX ,10.17306367,4.449446131,2678.566570862
HHIP,ENSG00000164161,ENST00000434550,Q96QV1,Hedgehog-interacting protein ,2.0559412,0.015323918,9.224998636
HHIPL1,ENSG00000182218,ENST00000330710,Q96JK4,HHIP-like protein 1,0.0407499,,
HHIPL2,ENSG00000143512,ENST00000343410,Q6UWX4,HHIP-like protein 2,1.554178667,,
HHLA1,ENSG00000132297,ENST00000414222,C9JL84,HERV-H LTR-associating protein 1,0.194385333,,
HHLA2,ENSG00000114455,ENST00000467761,Q9UM44,HERV-H LTR-associating protein 2 ,0.096817814,,
HHLA3,ENSG00000197568,ENST00000370940,Q9XRX5,HERV-H LTR-associating protein 3 ,25.554358,,
HIBADH,ENSG00000106049,ENST00000265395,P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial ",32.306663,488.4091853,294022.32955059997
HIBCH,ENSG00000198130,ENST00000359678,Q6NVY1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial ",38.84744933,459.069916,276360.089432
HIC1,ENSG00000177374,ENST00000399849,Q14526,Hypermethylated in cancer 1 protein ,2.174428357,,
HIC2,ENSG00000169635,ENST00000407464,Q96JB3,Hypermethylated in cancer 2 protein ,20.02634466,47.16419606,28392.846028120002
HID1,ENSG00000167861,ENST00000425042,Q8IV36,Protein HID1 ,8.692813803,3.212250743,1933.7749472859998
HIDE1,ENSG00000214212,ENST00000592854,A8MVS5,Protein HIDE1,0.368183667,0.232205801,139.787892202
HIF1A,ENSG00000100644,ENST00000337138,Q16665,Hypoxia-inducible factor 1-alpha ,51.7015159,1.024300995,616.62919899
HIF1AN,ENSG00000166135,ENST00000299163,Q9NWT6,Hypoxia-inducible factor 1-alpha inhibitor ,30.48967767,152.7325683,91945.0061166
HIF3A,ENSG00000124440,ENST00000377670,Q9Y2N7,Hypoxia-inducible factor 3-alpha ,0.5722975,,
HIGD1A,ENSG00000181061,ENST00000321331,Q9Y241,"HIG1 domain family member 1A, mitochondrial ",199.9866033,633.4235624,381320.98456480005
HIGD1B,ENSG00000131097,ENST00000253410,Q9P298,HIG1 domain family member 1B ,0.0,,
HIGD1C,ENSG00000214511,ENST00000398455,A8MV81,HIG1 domain family member 1C,0.0,,
HIGD2A,ENSG00000146066,ENST00000274787,Q9BW72,"HIG1 domain family member 2A, mitochondrial ",218.3576667,1574.475392,947834.185984
HIGD2B,ENSG00000175202,ENST00000311755,Q4VC39,Putative HIG1 domain family member 2B ,0.0613461,,
HIKESHI,ENSG00000149196,ENST00000278483,Q53FT3,Protein Hikeshi,50.17443633,816.8712527,491756.49412540003
HILPDA,ENSG00000135245,ENST00000257696,Q9Y5L2,Hypoxia-inducible lipid droplet-associated protein ,28.27297,6.760962601,4070.099485802
HINFP,ENSG00000172273,ENST00000350777,Q9BQA5,Histone H4 transcription factor ,22.57896333,5.038936312,3033.4396598239996
HINT1,ENSG00000169567,ENST00000304043,P49773,Histidine triad nucleotide-binding protein 1 ,352.7262523,4727.022882,2845667.774964
HINT2,ENSG00000137133,ENST00000259667,Q9BX68,"Histidine triad nucleotide-binding protein 2, mitochondrial ",71.76588067,524.8869384,315981.9369168
HINT3,ENSG00000111911,ENST00000229633,Q9NQE9,Histidine triad nucleotide-binding protein 3 ,23.92646667,218.6558758,131630.8372316
HIP1,ENSG00000127946,ENST00000336926,O00291,Huntingtin-interacting protein 1 ,16.223359,103.2412019,62151.203543799995
HIP1R,ENSG00000130787,ENST00000253083,O75146,Huntingtin-interacting protein 1-related protein ,21.726719,123.6903567,74461.5947334
HIPK1,ENSG00000163349,ENST00000369558,Q86Z02,Homeodomain-interacting protein kinase 1 ,21.75794605,3.784081613,2278.0171310260002
HIPK2,ENSG00000064393,ENST00000406875,Q9H2X6,Homeodomain-interacting protein kinase 2 ,16.09119667,3.280080685,1974.60857237
HIPK3,ENSG00000110422,ENST00000303296,Q9H422,Homeodomain-interacting protein kinase 3 ,10.15275467,0.46048465,277.2117593
HIPK4,ENSG00000160396,ENST00000291823,Q8NE63,Homeodomain-interacting protein kinase 4 ,0.099432367,,
HIRA,ENSG00000100084,ENST00000263208,P54198,Protein HIRA ,52.42596033,79.08043072,47606.41929344
HIRIP3,ENSG00000149929,ENST00000279392,Q9BW71,HIRA-interacting protein 3,50.14371767,117.8772763,70962.12033260001
HIVEP1,ENSG00000095951,ENST00000379388,P15822,Zinc finger protein 40 ,7.001819339,5.25870939,3165.7430527799997
HIVEP2,ENSG00000010818,ENST00000367603,P31629,Transcription factor HIVEP2 ,3.919074267,2.738002321,1648.277397242
HIVEP3,ENSG00000127124,ENST00000643665,Q5T1R4,Transcription factor HIVEP3 ,2.312174607,,
HJURP,ENSG00000123485,ENST00000411486,Q8NCD3,Holliday junction recognition protein ,31.105008,28.27757073,17023.09757946
HJV,ENSG00000168509,ENST00000636675,Q6ZVN8,Hemojuvelin ,0.038772333,,
HK1,ENSG00000156515,ENST00000359426,P19367,Hexokinase-1 ,58.11185267,331.1924933,199377.8809666
HK2,ENSG00000159399,ENST00000290573,P52789,Hexokinase-2 ,32.740023,419.3834802,252468.8550804
HK3,ENSG00000160883,ENST00000292432,P52790,Hexokinase-3 ,0.041321667,,
HKDC1,ENSG00000156510,ENST00000354624,Q2TB90,Hexokinase HKDC1 ,0.003991233,,
HLA-A,ENSG00000206503,ENST00000547271,P04439,,188.9815346,31.890658,19198.176116
HLA-B,ENSG00000234745,ENST00000412585,P01889,"HLA class I histocompatibility antigen, B alpha chain ",91.64852873,96.64952751,58183.01556102
HLA-C,ENSG00000204525,ENST00000376228,P10321,"HLA class I histocompatibility antigen, C alpha chain ",227.1719186,424.0600231,255284.1339062
HLA-DMA,ENSG00000204257,ENST00000374843,P28067,"HLA class II histocompatibility antigen, DM alpha chain ",2.703451167,0.995634633,599.372049066
HLA-DMB,ENSG00000241296,ENST00000412948,,,6.177820227,0.66783931,402.03926462
HLA-DOA,ENSG00000204252,ENST00000229829,P06340,"HLA class II histocompatibility antigen, DO alpha chain ",4.578964673,,
HLA-DOB,ENSG00000241106,ENST00000438763,,,1.821444333,,
HLA-DPA1,ENSG00000168384,ENST00000374808,P20036,"HLA class II histocompatibility antigen, DP alpha 1 chain ",9.525310674,8.922911271,5371.592585142
HLA-DPB1,ENSG00000236693,ENST00000411749,P04440,"HLA class II histocompatibility antigen, DP beta 1 chain ",2.774538133,2.27976141,1372.41636882
HLA-DQA1,ENSG00000196735,ENST00000343139,P01909,"HLA class II histocompatibility antigen, DQ alpha 1 chain ",3.967079946,,
HLA-DQA2,ENSG00000206301,ENST00000241802,P01906,"HLA class II histocompatibility antigen, DQ alpha 2 chain ",0.0,,
HLA-DQB1,ENSG00000231286,ENST00000399088,P01920,"HLA class II histocompatibility antigen, DQ beta 1 chain ",12.57766647,,
HLA-DQB2,ENSG00000196610,ENST00000399661,P05538,"HLA class II histocompatibility antigen, DQ beta 2 chain ",0.080260267,,
HLA-DRA,ENSG00000204287,ENST00000395388,,,0.499813033,,
HLA-DRB1,ENSG00000196126,ENST00000360004,P01911,"HLA class II histocompatibility antigen, DRB1 beta chain ",3.736583333,4.270752548,2570.993033896
HLA-DRB3,ENSG00000196101,ENST00000307137,P79483,"HLA class II histocompatibility antigen, DR beta 3 chain ",0.008616633,,
HLA-DRB4,ENSG00000227357,ENST00000411565,P13762,"HLA class II histocompatibility antigen, DR beta 4 chain ",0.0,,
HLA-DRB5,ENSG00000198502,ENST00000374975,Q30154,"HLA class II histocompatibility antigen, DR beta 5 chain ",0.903012667,,
HLA-E,ENSG00000206493,ENST00000383597,P13747,"HLA class I histocompatibility antigen, alpha chain E ",34.202749,11.30915078,6808.10876956
HLA-F,ENSG00000206509,ENST00000359076,,,22.44454398,1.665974546,1002.916676692
HLA-G,ENSG00000204632,ENST00000360323,P17693,"HLA class I histocompatibility antigen, alpha chain G ",0.0,,
HLCS,ENSG00000159267,ENST00000336648,P50747,Biotin--protein ligase ,16.12726667,45.42919011,27348.37244622
HLF,ENSG00000108924,ENST00000226067,Q16534,Hepatic leukemia factor,1.6870046,,
HLTF,ENSG00000071794,ENST00000310053,Q14527,Helicase-like transcription factor ,51.91640167,258.5885472,155670.3054144
HLX,ENSG00000136630,ENST00000366903,Q14774,H2.0-like homeobox protein ,8.412944667,1.549966584,933.079883568
HM13,ENSG00000101294,ENST00000340852,Q8TCT9,Minor histocompatibility antigen H13 ,218.955413,745.9927743,449087.65012859995
HMBOX1,ENSG00000147421,ENST00000397358,Q6NT76,Homeobox-containing protein 1 ,21.92304113,16.68594184,10044.936987680001
HMBS,ENSG00000256269,ENST00000278715,P08397,Porphobilinogen deaminase ,84.75935771,903.8759272,544133.3081744
HMCES,ENSG00000183624,ENST00000389735,Q96FZ2,Abasic site processing protein HMCES ,75.04820567,146.1749973,87997.3483746
HMCN1,ENSG00000143341,ENST00000271588,Q96RW7,Hemicentin-1 ,0.658489333,,
HMCN2,ENSG00000148357,ENST00000624552,Q8NDA2,Hemicentin-2,0.102265267,,
HMG20A,ENSG00000140382,ENST00000336216,Q9NP66,High mobility group protein 20A ,55.5555422,254.642239,153294.627878
HMG20B,ENSG00000064961,ENST00000333651,Q9P0W2,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related ,114.061933,432.7677156,260526.1647912
HMGA1,ENSG00000137309,ENST00000311487,P17096,High mobility group protein HMG-I/HMG-Y ,321.8816467,428.4910847,257951.63298939998
HMGA2,ENSG00000149948,ENST00000403681,P52926,High mobility group protein HMGI-C ,35.71849587,514.4405058,309693.18449159997
HMGB1,ENSG00000189403,ENST00000399494,P09429,High mobility group protein B1 ,1084.758873,,
HMGB2,ENSG00000164104,ENST00000438704,P26583,High mobility group protein B2 ,386.4990967,6797.681101,4092204.022802
HMGB3,ENSG00000029993,ENST00000325307,O15347,High mobility group protein B3 ,314.1988,1878.247741,1130705.140082
HMGB4,ENSG00000176256,ENST00000519684,Q8WW32,High mobility group protein B4,0.0,,
HMGCL,ENSG00000117305,ENST00000374490,P35914,"Hydroxymethylglutaryl-CoA lyase, mitochondrial ",17.46959333,177.8030387,107037.4292974
HMGCLL1,ENSG00000146151,ENST00000274901,Q8TB92,"3-hydroxy-3-methylglutaryl-CoA lyase, cytoplasmic ",0.958558533,,
HMGCR,ENSG00000113161,ENST00000287936,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase ,42.79985833,11.32301708,6816.456282159999
HMGCS1,ENSG00000112972,ENST00000433297,Q01581,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic ",55.394076,848.6894265,510911.03475299996
HMGCS2,ENSG00000134240,ENST00000369406,P54868,"Hydroxymethylglutaryl-CoA synthase, mitochondrial ",0.0,,
HMGN1,ENSG00000205581,ENST00000380749,P05114,Non-histone chromosomal protein HMG-14 ,734.3009427,4699.475032,2829083.969264
HMGN2,ENSG00000198830,ENST00000361427,P05204,Non-histone chromosomal protein HMG-17 ,1324.546161,2161.933955,1301484.24091
HMGN3,ENSG00000118418,ENST00000344726,Q15651,High mobility group nucleosome-binding domain-containing protein 3 ,202.73578,4804.920321,2892562.033242
HMGN4,ENSG00000182952,ENST00000377575,O00479,High mobility group nucleosome-binding domain-containing protein 4 ,78.68204333,,
HMGN5,ENSG00000198157,ENST00000358130,P82970,High mobility group nucleosome-binding domain-containing protein 5 ,133.3688033,1652.270536,994666.862672
HMGXB3,ENSG00000113716,ENST00000613459,Q12766,HMG domain-containing protein 3 ,34.96015133,4.106517039,2472.123257478
HMGXB4,ENSG00000100281,ENST00000216106,Q9UGU5,HMG domain-containing protein 4 ,33.68421167,118.8138492,71525.93721840001
HMHB1,ENSG00000158497,ENST00000638299,O97980,Minor histocompatibility protein HB-1 [Cleaved into: Minor histocompatibility antigen HB-1 ,0.0,,
HMMR,ENSG00000072571,ENST00000393915,O75330,Hyaluronan mediated motility receptor ,44.623461,138.6190256,83448.6534112
HMOX1,ENSG00000100292,ENST00000216117,P09601,Heme oxygenase 1 ,19.767432,347.2993654,209074.2179708
HMOX2,ENSG00000103415,ENST00000575120,P30519,Heme oxygenase 2 ,74.61963427,1059.062393,637555.560586
HMSD,ENSG00000221887,ENST00000408945,A8MTL9,Serpin-like protein HMSD ,0.007347933,,
HMX1,ENSG00000215612,ENST00000400677,Q9NP08,Homeobox protein HMX1 ,22.71497267,3.740251918,2251.631654636
HMX2,ENSG00000188816,ENST00000339992,A2RU54,Homeobox protein HMX2 ,0.275282,,
HMX3,ENSG00000188620,ENST00000357878,A6NHT5,Homeobox protein HMX3 ,0.869625,,
HNF1A,ENSG00000135100,ENST00000538646,P20823,Hepatocyte nuclear factor 1-alpha ,0.0828641,,
HNF1B,ENSG00000276194,ENST00000610754,P35680,Hepatocyte nuclear factor 1-beta ,0.016981,,
HNF4A,ENSG00000101076,ENST00000316099,P41235,Hepatocyte nuclear factor 4-alpha ,0.086224333,,
HNF4G,ENSG00000164749,ENST00000396423,Q14541,Hepatocyte nuclear factor 4-gamma ,1.052631667,,
HNMT,ENSG00000150540,ENST00000280096,P50135,Histamine N-methyltransferase ,0.873555667,,
HNRNPA0,ENSG00000177733,ENST00000314940,Q13151,Heterogeneous nuclear ribonucleoprotein A0 ,49.83276667,1903.075861,1145651.668322
HNRNPA1,ENSG00000135486,ENST00000547566,P09651,Heterogeneous nuclear ribonucleoprotein A1 ,2832.703803,13455.66897,8100312.71994
HNRNPA1L2,ENSG00000139675,ENST00000357495,Q32P51,Heterogeneous nuclear ribonucleoprotein A1-like 2 ,5.660323333,0.795222966,478.724225532
HNRNPA2B1,ENSG00000122566,ENST00000356674,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 ,2033.093034,20336.78085,12242742.0717
HNRNPA3,ENSG00000170144,ENST00000392524,P51991,Heterogeneous nuclear ribonucleoprotein A3 ,765.4441,4077.913802,2454904.108804
