ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	Complex comment	Disease comment	Subunits comment	SWISSPROT organism	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)
5178	JAK2-PAFR-TYK2 complex	Human	None	COS-7 cells, Mono Mac 1 cells	O60674;P25105;P29597	3717;5724;7297	MI:0007-anti tag coimmunoprecipitation	GO:0007259	receptor signaling pathway via JAK-STAT	30.01.05.01.01	JAK-STAT cascade	14500680	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Tyrosine-protein kinase JAK2;Platelet-activating factor receptor;Non-receptor tyrosine-protein kinase TYK2	JAK2;PTAFR;TYK2	None;PAFR;None
5179	NCOA6-DNA-PK-Ku-PARP1 complex	Human	None	None	P09874;P12956;P13010;P78527;Q14686	142;2547;7520;5591;23054	MI:0096-pull down	GO:0006281;GO:0005634	DNA repair;nucleus	10.01.05.01;70.10	DNA repair;nucleus	12519782	TRBP (NCOA6) stimulates DNA-PK kinase activity in the absence of DNA.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Poly [ADP-ribose] polymerase 1;X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;DNA-dependent protein kinase catalytic subunit;Nuclear receptor coactivator 6	PARP1;XRCC6;XRCC5;PRKDC;NCOA6	ADPRT PPOL;G22P1;G22P2;HYRC HYRC1;AIB3 KIAA0181 RAP250 TRBP
5183	DNA-PK-Ku-eIF2-NF90-NF45 complex	Human	None	None	P05198;P12956;P13010;P20042;P41091;P78527;Q12905;Q12906	1965;2547;7520;8894;1968;5591;3608;3609	MI:0006-anti bait coimmunoprecipitation;MI:0412-electrophoretic mobility supershift assay	GO:0006281;GO:0006468;GO:0046777;GO:0003677;GO:0005634	DNA repair;protein phosphorylation;protein autophosphorylation;DNA binding;nucleus	10.01.05.01;14.07.03;16.03.01;70.10	DNA repair;modification by phosphorylation, dephosphorylation, autophosphorylation;DNA binding;nucleus	9442054	NF90, in complex with NF45, interacts with DNA-PKcs and Ku and promotes formation of a complex on DNA.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Eukaryotic translation initiation factor 2 subunit 1;X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;Eukaryotic translation initiation factor 2 subunit 2;Eukaryotic translation initiation factor 2 subunit 3;DNA-dependent protein kinase catalytic subunit;Interleukin enhancer-binding factor 2;Interleukin enhancer-binding factor 3	EIF2S1;XRCC6;XRCC5;EIF2S2;EIF2S3;PRKDC;ILF2;ILF3	EIF2A;G22P1;G22P2;EIF2B;EIF2G;HYRC HYRC1;NF45;DRBF MPHOSPH4 NF90
5184	SWI/SNF-related chromatin-remodeling complex	Human	None	normal (C49) and RJK1412 (FRAXA) cells	P51531;P51608;Q13547;Q969G3;Q96ST3	6595;4204;3065;6605;25942	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0402-chromatin immunoprecipitation assay	GO:0045892;GO:0006338	negative regulation of DNA-templated transcription;chromatin remodeling	11.02.03.04.03	transcription repression	15696166	Human Brahma (Brm), a catalytic component of the SWI/SNF-related chromatin-remodeling complex, associates with MeCP2 in vivo and is functionally linked with repression. Brm-containing MeCP2 corepressor complex includes HDAC1 and Sin3aon soluble chromatin. MeCP2, Brm and BAF57 coimmunoprecipitate. BAF57 was associated with the FMR1 promoter on the repressed gene in FRAXA cells.	Brm and MeCP2 assembly on chromatin occurs on methylated genes in cancer and the gene FMR1 in fragile X syndrome.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Probable global transcription activator SNF2L2;Methyl-CpG-binding protein 2;Histone deacetylase 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;Paired amphipathic helix protein Sin3a	SMARCA2;MECP2;HDAC1;SMARCE1;SIN3A	BAF190B BRM SNF2A SNF2L2;None;RPD3L1;BAF57;None
5189	YWHAQ-CALM1-CABIN1 complex	Human	None	None	P0DP23;P27348;Q9Y6J0	801;10971;23523	MI:0004-affinity chromatography technology	GO:0023052	signaling	30.01	cellular signalling	15902271	None	None	P62158 is obsolete. On May 10, 2017 this ID became obsolete. It can now be found as secondary accession in P0DP23, P0DP24 and P0DP25.? We will update the UniProt-IDs in our database within the next days. However, it will be only seen on the CORUM webpage until there will be a new stable release for download.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Calmodulin-1;14-3-3 protein theta;Calcineurin-binding protein cabin-1	CALM1;YWHAQ;CABIN1	CALM CAM CAM1;None;KIAA0330
5190	TIAM1-EFNB1-EPHA2 complex	Human	None	COS-1 cells	P29317;P98172;Q13009	1969;1947;7074	MI:0006-anti bait coimmunoprecipitation	GO:0022008;GO:0031175	neurogenesis;neuron projection development	41.05.13	neurogenesis	14988728	Tiam1 is required for neurite outgrowth induced by both ephrin-B1-mediated reverse signaling and EphA2-mediated forward signaling.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Ephrin type-A receptor 2;Ephrin-B1;Rho guanine nucleotide exchange factor TIAM1	EPHA2;EFNB1;TIAM1	ECK;EFL3 EPLG2 LERK2;None
5193	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)	Human	None	None	O00221;O00505;O15111;P19838;P25963;Q00653;Q01201;Q04206;Q04864;Q15653;Q8NFZ5;Q9Y6K9	4794;None;1147;4790;4792;4791;5971;5970;5966;4793;79155;8517	MI:0676-tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NF-kappa-B inhibitor epsilon;Importin subunit alpha-4;Inhibitor of nuclear factor kappa-B kinase subunit alpha;Nuclear factor NF-kappa-B p105 subunit;NF-kappa-B inhibitor alpha;Nuclear factor NF-kappa-B p100 subunit;Transcription factor RelB;Transcription factor p65;Proto-oncogene c-Rel;NF-kappa-B inhibitor beta;TNFAIP3-interacting protein 2;NF-kappa-B essential modulator	NFKBIE;KPNA3;CHUK;NFKB1;NFKBIA;NFKB2;RELB;RELA;REL;NFKBIB;TNIP2;IKBKG	IKBE;QIP2;IKKA TCF16;None;IKBA MAD3 NFKBI;LYT10;None;NFKB3;None;IKBB TRIP9;ABIN2 FLIP1;FIP3, NEMO
5194	TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)	Human	None	None	O14920;O15027;O15111;O75604;Q00653;Q04206;Q04864;Q969H0;Q99558;Q9Y6K9	3551;9919;1147;9099;4791;5970;5966;55294;9020;8517	MI:0676-tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Inhibitor of nuclear factor kappa-B kinase subunit beta;Protein transport protein Sec16A;Inhibitor of nuclear factor kappa-B kinase subunit alpha;Ubiquitin carboxyl-terminal hydrolase 2;Nuclear factor NF-kappa-B p100 subunit;Transcription factor p65;Proto-oncogene c-Rel;F-box/WD repeat-containing protein 7;Mitogen-activated protein kinase kinase kinase 14;NF-kappa-B essential modulator	IKBKB;SEC16A;CHUK;USP2;NFKB2;RELA;REL;FBXW7;MAP3K14;IKBKG	IKKB;KIAA0310 SEC16 SEC16L;IKKA TCF16;UBP41;LYT10;NFKB3;None;FBW7 FBX30 SEL10;NIK;FIP3, NEMO
5195	PTIP-HMT complex	Human	None	None	O15550;P61964;Q14686;Q15291;Q6ZW49;Q8NEZ4;Q9BTK6;Q9C005;Q9UBL3;Q9UMN6	7403;11091;23054;5929;22976;58508;79447;84661;9070;None	MI:0007-anti tag coimmunoprecipitation;MI:0071-molecular sieving	GO:0006265;GO:2001141;GO:0006355;GO:0006479;GO:0003677;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;protein methylation;DNA binding;chromosome organization;nucleus	10.01.09.05;11.02.03.04;14.07.09;16.03.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;organization of chromosome structure;nucleus	17500065	In cells without DNA damage PTIP associates with proteins involved in regulation of gene expression.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Lysine-specific demethylase 6A;WD repeat-containing protein 5;Nuclear receptor coactivator 6;Retinoblastoma-binding protein 5;PAX-interacting protein 1;Histone-lysine N-methyltransferase 2C;PAXIP1-associated glutamate-rich protein 1;Protein dpy-30 homolog;Set1/Ash2 histone methyltransferase complex subunit ASH2;Histone-lysine N-methyltransferase 2B	KDM6A;WDR5;NCOA6;RBBP5;PAXIP1;KMT2C;PAGR1;DPY30;ASH2L;KMT2B	UTX;BIG3;AIB3 KIAA0181 RAP250 TRBP;RBQ3;PAXIP1L PTIP;HALR, KIAA1506, MLL3;C16orf53, PA1;None;ASH2L1;HRX2 KIAA0304 MLL2 MLL4 TRX2 WBP7
5196	TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)	Human	None	None	O00743;O15084;O15111;O75170;P63208;Q00653;Q04206;Q04864;Q13616;Q14164;Q9UPN7;Q9Y297	5537;23243;1147;9701;6500;4791;5970;5966;8454;9641;22870;8945	MI:0676-tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A;Inhibitor of nuclear factor kappa-B kinase subunit alpha;Serine/threonine-protein phosphatase 6 regulatory subunit 2;S-phase kinase-associated protein 1;Nuclear factor NF-kappa-B p100 subunit;Transcription factor p65;Proto-oncogene c-Rel;Cullin-1;Inhibitor of nuclear factor kappa-B kinase subunit epsilon;Serine/threonine-protein phosphatase 6 regulatory subunit 1;F-box/WD repeat-containing protein 1A	PPP6C;ANKRD28;CHUK;PPP6R2;SKP1;NFKB2;RELA;REL;CUL1;IKBKE;PPP6R1;BTRC	PPP6;KIAA0379;IKKA TCF16;KIAA0685 PP6R2 SAPS2;EMC19 OCP2 SKP1A TCEB1L;LYT10;NFKB3;None;None;IKKE IKKI KIAA0151;KIAA1115 PP6R1 SAPS1;BTRCP FBW1A FBXW1A
5197	PTIP-DNA damage response complex	Human	None	None	O60934;P49959;P54132;Q12888;Q6ZW49;Q92878	4683;4361;641;7158;22976;10111	MI:0007-anti tag coimmunoprecipitation;MI:0071-molecular sieving	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	17500065	In cells treated with DNA damage agents, PTIP associates with proteins involved in DNA damage response and DNA repair.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Nibrin;Double-strand break repair protein MRE11;RecQ-like DNA helicase BLM;TP53-binding protein 1;PAX-interacting protein 1;DNA repair protein RAD50	NBN;MRE11;BLM;TP53BP1;PAXIP1;RAD50	NBS NBS1 P95;HNGS1 MRE11A;RECQ2 RECQL3;None;PAXIP1L PTIP;None
5198	CBP-RARA-RXRA-DNA complex, ligand stimulated	Human	None	None	P10276;P19793;Q92793	5914;6256;1387	MI:0413-electrophoretic mobility shift assay	GO:0045893;GO:0023052;GO:0005634	positive regulation of DNA-templated transcription;signaling;nucleus	11.02.03.04.01;30.01;70.10	transcription activation;cellular signalling;nucleus	8616895	The authors suggest that CBP/p300 serves as an integrator of multiple signal transduction pathways within the nucleus.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Retinoic acid receptor alpha;Retinoic acid receptor RXR-alpha;CREB-binding protein	RARA;RXRA;CREBBP	NR1B1;NR2B1;CBP
5199	Kinase maturation complex 1	Human	None	None	P07900;P08238;P27348;P31946;P34932;P61981;P62258;P63104;Q04917;Q13163;Q16543;Q6Q0C0;Q7KZI7;Q99759;Q9NUG6;Q9UHV9	3320;3326;10971;7529;3308;7532;7531;7534;7533;5607;11140;84231;2011;4215;81572;5202	MI:0676-tandem affinity purification	GO:0035556	intracellular signal transduction	30.01	cellular signalling	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta;14-3-3 protein theta;14-3-3 protein beta/alpha;Heat shock 70 kDa protein 4;14-3-3 protein gamma;14-3-3 protein epsilon;14-3-3 protein zeta/delta;14-3-3 protein eta;Dual specificity mitogen-activated protein kinase kinase 5;Hsp90 co-chaperone Cdc37;E3 ubiquitin-protein ligase TRAF7;Serine/threonine-protein kinase MARK2;Mitogen-activated protein kinase kinase kinase 3;p53 and DNA damage-regulated protein 1;Prefoldin subunit 2	HSP90AA1;HSP90AB1;YWHAQ;YWHAB;HSPA4;YWHAG;YWHAE;YWHAZ;YWHAH;MAP2K5;CDC37;TRAF7;MARK2;MAP3K3;PDRG1;PFDN2	HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;None;None;APG2;None;None;None;YWHA1;MEK5 MKK5 PRKMK5;CDC37A;RFWD1 RNF119;EMK1;MAPKKK3 MEKK3;C20orf126 PDRG;PFD2
5209	Ubiquilin-proteasome complex	Human	None	HFK cells; HeLa cells	P25786;P25787;P60900;Q05086;Q9UHD9;Q9UMX0	5682;5683;5687;7337;29978;29979	MI:0007-anti tag coimmunoprecipitation;MI:0019-coimmunoprecipitation;MI:0047-far western blotting;MI:0051-fluorescence technology	GO:0043161;GO:0006511	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	10983987	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Proteasome subunit alpha type-1;Proteasome subunit alpha type-2;Proteasome subunit alpha type-6;Ubiquitin-protein ligase E3A;Ubiquilin-2;Ubiquilin-1	PSMA1;PSMA2;PSMA6;UBE3A;UBQLN2;UBQLN1	HC2 NU PROS30 PSC2;HC3 PSC3;PROS27;E6AP EPVE6AP HPVE6A;N4BP4 PLIC2;DA41 PLIC1
5210	TANK-TRAF2-TRAF3 complex	Human	None	None	Q12933;Q13114;Q92844	7186;7187;10010	MI:0676-tandem affinity purification	GO:0023052	signaling	30.01	cellular signalling	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	TNF receptor-associated factor 2;TNF receptor-associated factor 3;TRAF family member-associated NF-kappa-B activator	TRAF2;TRAF3;TANK	TRAP3;CAP-1 CRAF1 TRAFAMN;ITRAF TRAF2
5212	Kinase maturation complex 2	Human	None	None	A7MCY6;P07900;P08238;Q12933;Q16543;Q92844;Q9H6S1;Q9UHD2	9755;3320;3326;7186;11140;10010;64343;29110	MI:0676-tandem affinity purification	GO:0035556	intracellular signal transduction	30.01	cellular signalling	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	TANK-binding kinase 1-binding protein 1;Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta;TNF receptor-associated factor 2;Hsp90 co-chaperone Cdc37;TRAF family member-associated NF-kappa-B activator;5-azacytidine-induced protein 2;Serine/threonine-protein kinase TBK1	TBKBP1;HSP90AA1;HSP90AB1;TRAF2;CDC37;TANK;AZI2;TBK1	KIAA0775 SINTBAD;HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;TRAP3;CDC37A;ITRAF TRAF2;NAP1 TBKBP2;NAK
5213	AAA\u2013ATPase complex, peroxisomal	Human	PEX1-PEX6-PEX26 complex	HEK 293 cells, CHO cells	O43933;Q13608;Q7Z412	5189;5190;55670	MI:0006-anti bait coimmunoprecipitation;MI:0007-anti tag coimmunoprecipitation	GO:0007031;GO:0005777;GO:0000425;GO:0030242	peroxisome organization;peroxisome;pexophagy;autophagy of peroxisome	42.19;70.19	peroxisome;peroxisome	12717447	The results indicate that Pex26 anchors Pex6 and Pex1 through Pex26-Pex6 and Pex6-Pex1 interactions (PMID: 12717447). The peroxisomal AAA\u2013ATPase complex consisting of PEX1, PEX6, and PEX26 prevents pexophagy and peroxisome biogenesis disorder development (PMID: 32917959).	The complex is involved in peroxisome biogenesis disorders (PBDs), such as Zellweger syndrome and neonatal adrenoleukodystrophy.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Peroxisome biogenesis factor 1;Peroxisome assembly factor 2;Peroxisome assembly protein 26	PEX1;PEX6;PEX26	None;PXAAA1;None
5215	CS-MAP3K7IP1-MAP3K7IP2 complex	Human	None	None	O75390;Q15750;Q9NYJ8	1431;10454;23118	MI:0676-tandem affinity purification	GO:0035556	intracellular signal transduction	30.01	cellular signalling	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Citrate synthase, mitochondrial;TGF-beta-activated kinase 1 and MAP3K7-binding protein 1;TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	CS;TAB1;TAB2	None;MAP3K7IP1;KIAA0733, MAP3K7IP2
5217	Calreticulin homodimer complex	Human	None	HeLa cells	P27797	811	MI:0019-coimmunoprecipitation	GO:0009408;GO:0051259;GO:0006950	response to heat;protein complex oligomerization;response to stress	32.01.05;32.01	heat shock response;stress response	15383281	Calreticulin is an endoplasmic reticulum (ER)-resident chaperone that is upregulated in response to various types of ER stress. In cells, calreticulin binds to deglycosylated major histocompatibility complex class I heavy chains when significant levels of calreticulin oligomerization intermediates are induced. Disulfide-linked dimers of calreticulin were observed in HeLa cells. The protein complex consists of several identical subunits (oligomerization).	None	None	Homo sapiens (Human)	Calreticulin	CALR	CRTC
5220	CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex	Human	None	None	O15111;Q04206;Q13576;Q8NFZ5;Q9ULX6	1147;5970;10788;79155;26993	MI:0676-tandem affinity purification	GO:0035556	intracellular signal transduction	30.01	cellular signalling	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Inhibitor of nuclear factor kappa-B kinase subunit alpha;Transcription factor p65;Ras GTPase-activating-like protein IQGAP2;TNFAIP3-interacting protein 2;A-kinase anchor protein 8-like	CHUK;RELA;IQGAP2;TNIP2;AKAP8L	IKKA TCF16;NFKB3;None;ABIN2 FLIP1;NAKAP NAKAP95
5222	p14-Mp1-MEK1 complex	Human	None	HeLa cells	Q02750;Q9UHA4;Q9Y2Q5	5604;8649;28956	MI:0007-anti tag coimmunoprecipitation	GO:0000165	MAPK cascade	30.01.05.01.03	MAPKKK cascade	11266467	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Dual specificity mitogen-activated protein kinase kinase 1;Ragulator complex protein LAMTOR3;Ragulator complex protein LAMTOR2	MAP2K1;LAMTOR3;LAMTOR2	MEK1 PRKMK1;MAP2K1IP1 MAPKSP1;MAPBPIP ROBLD3
5223	Casein kinase II (beta-dimer, alpha'-dimer)	Human	None	in vitro	P19784;P67870	1459;1460	MI:0018-two hybrid	GO:0006468	protein phosphorylation	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation	7768894	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	Casein kinase II subunit alpha';Casein kinase II subunit beta	CSNK2A2;CSNK2B	CK2A2;CK2N G5A
5224	Casein kinase II (beta-dimer, alpha, alpha')	Human	CKII complex	in vitro	P19784;P67870;P68400	1459;1460;1457	MI:0018-two hybrid	GO:0006468	protein phosphorylation	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation	7768894	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Casein kinase II subunit alpha';Casein kinase II subunit beta;Casein kinase II subunit alpha	CSNK2A2;CSNK2B;CSNK2A1	CK2A2;CK2N G5A;CK2A1
5225	Casein kinase II (beta-dimer, alpha-dimer)	Human	None	in vitro	P67870;P68400	1460;1457	MI:0018-two hybrid	GO:0006468	protein phosphorylation	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation	7768894	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	Casein kinase II subunit beta;Casein kinase II subunit alpha	CSNK2B;CSNK2A1	CK2N G5A;CK2A1
5226	p14-Mp1-ERK2 complex	Human	None	None	P28482;Q9UHA4;Q9Y2Q5	5594;8649;28956	MI:0007-anti tag coimmunoprecipitation	GO:0000165	MAPK cascade	30.01.05.01.03	MAPKKK cascade	11266467	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Mitogen-activated protein kinase 1;Ragulator complex protein LAMTOR3;Ragulator complex protein LAMTOR2	MAPK1;LAMTOR3;LAMTOR2	ERK2 PRKM1 PRKM2;MAP2K1IP1 MAPKSP1;MAPBPIP ROBLD3
5228	REL-MAP3K8-RELA-TNIP2-PAPOLA complex	Human	None	None	P41279;P51003;Q04206;Q04864;Q8NFZ5	1326;10914;5970;5966;79155	MI:0676-tandem affinity purification	GO:0007249	I-kappaB kinase/NF-kappaB signaling	30.01.05.01.04	NIK-I-kappaB/NF-kappaB cascade	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Mitogen-activated protein kinase kinase kinase 8;Poly(A) polymerase alpha;Transcription factor p65;Proto-oncogene c-Rel;TNFAIP3-interacting protein 2	MAP3K8;PAPOLA;RELA;REL;TNIP2	COT ESTF;PAP;NFKB3;None;ABIN2 FLIP1
5229	RPA complex	Human	replication complex	None	P15927;P27694;P35244	6118;6117;6119	MI:0029-cosedimentation through density gradient;MI:0091-chromatography technology	GO:0006260;GO:0003677	DNA replication;DNA binding	10.01.03;16.03.01	DNA synthesis and replication;DNA binding	2833742	RPA facilitates unwinding of dsDNA.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Replication protein A 32 kDa subunit;Replication protein A 70 kDa DNA-binding subunit;Replication protein A 14 kDa subunit	RPA2;RPA1;RPA3	REPA2 RPA32 RPA34;REPA1 RPA70;REPA3 RPA14
5230	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex	Human	None	None	O00221;O15111;O60271;P19838;P25963;P35606;Q00653;Q04206;Q04864;Q15025;Q8NFZ5;Q9Y6K9	4794;1147;9043;4790;4792;9276;4791;5970;5966;10318;79155;8517	MI:0676-tandem affinity purification	GO:0007249	I-kappaB kinase/NF-kappaB signaling	30.01.05.01.04	NIK-I-kappaB/NF-kappaB cascade	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NF-kappa-B inhibitor epsilon;Inhibitor of nuclear factor kappa-B kinase subunit alpha;C-Jun-amino-terminal kinase-interacting protein 4;Nuclear factor NF-kappa-B p105 subunit;NF-kappa-B inhibitor alpha;Coatomer subunit beta';Nuclear factor NF-kappa-B p100 subunit;Transcription factor p65;Proto-oncogene c-Rel;TNFAIP3-interacting protein 1;TNFAIP3-interacting protein 2;NF-kappa-B essential modulator	NFKBIE;CHUK;SPAG9;NFKB1;NFKBIA;COPB2;NFKB2;RELA;REL;TNIP1;TNIP2;IKBKG	IKBE;IKKA TCF16;HSS KIAA0516 MAPK8IP4 SYD1;None;IKBA MAD3 NFKBI;None;LYT10;NFKB3;None;KIAA0113 NAF1;ABIN2 FLIP1;FIP3, NEMO
5231	53BP1-containing complex	Human	53BP1-Ku70-Ku80-RPA1-RPA2 complex	None	P12956;P13010;P15927;P27694;Q12888	2547;7520;6118;6117;7158	MI:0007-anti tag coimmunoprecipitation	GO:0006281;GO:0003677;GO:0006974	DNA repair;DNA binding;cellular response to DNA damage stimulus	10.01.05.01;16.03.01;32.01.09	DNA repair;DNA binding;DNA damage response	15856006	53BP1 is involved in DNA damage-induced RPA2 phosphorylation.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;Replication protein A 32 kDa subunit;Replication protein A 70 kDa DNA-binding subunit;TP53-binding protein 1	XRCC6;XRCC5;RPA2;RPA1;TP53BP1	G22P1;G22P2;REPA2 RPA32 RPA34;REPA1 RPA70;None
